item>>01 Product ID,item>>02 SKU,item>>03 Title,item>>04 Brand,item>>05 Color,item>>06 Size,item>>07 In Stock,item>>08 Quantity,item>>09 List Price,item>>10 Sale Price,item>>11 Currency,item>>12 Categories,item>>13 URL,item>>14 Extract Date,item>>15 Images
FM2500_530,FM2500,Hoodie,adidas,White,L,Yes,15,65,65,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/hoodie/FM2500.html,2020-02-11T19:35:18.891Z,https://assets.adidas.com/images/804c09acbd5a4ef9b2c4aaa900cdd62c_9366/Hoodie_White_FM2500_21_model.jpg|https://assets.adidas.com/images/1a104918f983450dbe77aaa900cde4a8_9366/Hoodie_White_FM2500_22_model.jpg|https://assets.adidas.com/images/5811eb8918f04a60943faaa900cdf2e3_9366/Hoodie_White_FM2500_23_hover_model.jpg|https://assets.adidas.com/images/af0e1b060286408f813daaa900ce05b1_9366/Hoodie_White_FM2500_25_model.jpg|https://assets.adidas.com/images/8e54ee97f13c4e60a6caaaa900ce7a88_9366/Hoodie_White_FM2500_01_laydown.jpg|https://assets.adidas.com/images/c4d3bf4070204ff8abaaaaa900ce904d_9366/Hoodie_White_FM2500_02_laydown.jpg|https://assets.adidas.com/images/fdc95d47e31b47d4abeaaaa900ce1d5e_9366/Hoodie_White_FM2500_41_detail.jpg|https://assets.adidas.com/images/4abde16802ba4e9385c4aaa900ce37f0_9366/Hoodie_White_FM2500_42_detail.jpg|https://assets.adidas.com/images/1fa7479db2984a58a27daaa900ce4dbb_9366/Hoodie_White_FM2500_43_detail.jpg
FM2500_550,FM2500,Hoodie,adidas,White,XL,Yes,15,65,65,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/hoodie/FM2500.html,2020-02-11T19:35:18.916Z,https://assets.adidas.com/images/804c09acbd5a4ef9b2c4aaa900cdd62c_9366/Hoodie_White_FM2500_21_model.jpg|https://assets.adidas.com/images/1a104918f983450dbe77aaa900cde4a8_9366/Hoodie_White_FM2500_22_model.jpg|https://assets.adidas.com/images/5811eb8918f04a60943faaa900cdf2e3_9366/Hoodie_White_FM2500_23_hover_model.jpg|https://assets.adidas.com/images/af0e1b060286408f813daaa900ce05b1_9366/Hoodie_White_FM2500_25_model.jpg|https://assets.adidas.com/images/8e54ee97f13c4e60a6caaaa900ce7a88_9366/Hoodie_White_FM2500_01_laydown.jpg|https://assets.adidas.com/images/c4d3bf4070204ff8abaaaaa900ce904d_9366/Hoodie_White_FM2500_02_laydown.jpg|https://assets.adidas.com/images/fdc95d47e31b47d4abeaaaa900ce1d5e_9366/Hoodie_White_FM2500_41_detail.jpg|https://assets.adidas.com/images/4abde16802ba4e9385c4aaa900ce37f0_9366/Hoodie_White_FM2500_42_detail.jpg|https://assets.adidas.com/images/1fa7479db2984a58a27daaa900ce4dbb_9366/Hoodie_White_FM2500_43_detail.jpg
FM2504_450,FM2504,Cropped Sweatshirt,adidas,Legacy Green,2XS,No,0,60,60,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/cropped-sweatshirt/FM2504.html,2020-02-11T19:35:23.186Z,https://assets.adidas.com/images/b623e3bdc6f34af1a227aaca0121715c_9366/Cropped_Sweatshirt_Green_FM2504_21_model.jpg|https://assets.adidas.com/images/28e908bf2bca432daf67aaca01217e81_9366/Cropped_Sweatshirt_Green_FM2504_22_model.jpg|https://assets.adidas.com/images/ac272e0ed22a464598a4aaca01218bb6_9366/Cropped_Sweatshirt_Green_FM2504_23_hover_model.jpg|https://assets.adidas.com/images/be7035767a6a41b5b7f1aaca01219a74_9366/Cropped_Sweatshirt_Green_FM2504_25_model.jpg|https://assets.adidas.com/images/6f926798a3554c0787fcaaca0121fe3f_9366/Cropped_Sweatshirt_Green_FM2504_01_laydown.jpg|https://assets.adidas.com/images/fbf5100101c44b6fa739aaca01220d1e_9366/Cropped_Sweatshirt_Green_FM2504_02_laydown.jpg|https://assets.adidas.com/images/bad059f48c714203a2dcaaca0121b168_9366/Cropped_Sweatshirt_Green_FM2504_41_detail.jpg|https://assets.adidas.com/images/67d3e8c40d7143f28cc1aaca0121c92f_9366/Cropped_Sweatshirt_Green_FM2504_42_detail.jpg|https://assets.adidas.com/images/d8fa000f0c744a86ac52aaca0121de88_9366/Cropped_Sweatshirt_Green_FM2504_43_detail.jpg
FM2504_470,FM2504,Cropped Sweatshirt,adidas,Legacy Green,XS,Yes,15,60,60,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/cropped-sweatshirt/FM2504.html,2020-02-11T19:35:23.215Z,https://assets.adidas.com/images/b623e3bdc6f34af1a227aaca0121715c_9366/Cropped_Sweatshirt_Green_FM2504_21_model.jpg|https://assets.adidas.com/images/28e908bf2bca432daf67aaca01217e81_9366/Cropped_Sweatshirt_Green_FM2504_22_model.jpg|https://assets.adidas.com/images/ac272e0ed22a464598a4aaca01218bb6_9366/Cropped_Sweatshirt_Green_FM2504_23_hover_model.jpg|https://assets.adidas.com/images/be7035767a6a41b5b7f1aaca01219a74_9366/Cropped_Sweatshirt_Green_FM2504_25_model.jpg|https://assets.adidas.com/images/6f926798a3554c0787fcaaca0121fe3f_9366/Cropped_Sweatshirt_Green_FM2504_01_laydown.jpg|https://assets.adidas.com/images/fbf5100101c44b6fa739aaca01220d1e_9366/Cropped_Sweatshirt_Green_FM2504_02_laydown.jpg|https://assets.adidas.com/images/bad059f48c714203a2dcaaca0121b168_9366/Cropped_Sweatshirt_Green_FM2504_41_detail.jpg|https://assets.adidas.com/images/67d3e8c40d7143f28cc1aaca0121c92f_9366/Cropped_Sweatshirt_Green_FM2504_42_detail.jpg|https://assets.adidas.com/images/d8fa000f0c744a86ac52aaca0121de88_9366/Cropped_Sweatshirt_Green_FM2504_43_detail.jpg
FM2504_490,FM2504,Cropped Sweatshirt,adidas,Legacy Green,S,Yes,15,60,60,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/cropped-sweatshirt/FM2504.html,2020-02-11T19:35:23.241Z,https://assets.adidas.com/images/b623e3bdc6f34af1a227aaca0121715c_9366/Cropped_Sweatshirt_Green_FM2504_21_model.jpg|https://assets.adidas.com/images/28e908bf2bca432daf67aaca01217e81_9366/Cropped_Sweatshirt_Green_FM2504_22_model.jpg|https://assets.adidas.com/images/ac272e0ed22a464598a4aaca01218bb6_9366/Cropped_Sweatshirt_Green_FM2504_23_hover_model.jpg|https://assets.adidas.com/images/be7035767a6a41b5b7f1aaca01219a74_9366/Cropped_Sweatshirt_Green_FM2504_25_model.jpg|https://assets.adidas.com/images/6f926798a3554c0787fcaaca0121fe3f_9366/Cropped_Sweatshirt_Green_FM2504_01_laydown.jpg|https://assets.adidas.com/images/fbf5100101c44b6fa739aaca01220d1e_9366/Cropped_Sweatshirt_Green_FM2504_02_laydown.jpg|https://assets.adidas.com/images/bad059f48c714203a2dcaaca0121b168_9366/Cropped_Sweatshirt_Green_FM2504_41_detail.jpg|https://assets.adidas.com/images/67d3e8c40d7143f28cc1aaca0121c92f_9366/Cropped_Sweatshirt_Green_FM2504_42_detail.jpg|https://assets.adidas.com/images/d8fa000f0c744a86ac52aaca0121de88_9366/Cropped_Sweatshirt_Green_FM2504_43_detail.jpg
FM2504_510,FM2504,Cropped Sweatshirt,adidas,Legacy Green,M,Yes,15,60,60,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/cropped-sweatshirt/FM2504.html,2020-02-11T19:35:23.291Z,https://assets.adidas.com/images/b623e3bdc6f34af1a227aaca0121715c_9366/Cropped_Sweatshirt_Green_FM2504_21_model.jpg|https://assets.adidas.com/images/28e908bf2bca432daf67aaca01217e81_9366/Cropped_Sweatshirt_Green_FM2504_22_model.jpg|https://assets.adidas.com/images/ac272e0ed22a464598a4aaca01218bb6_9366/Cropped_Sweatshirt_Green_FM2504_23_hover_model.jpg|https://assets.adidas.com/images/be7035767a6a41b5b7f1aaca01219a74_9366/Cropped_Sweatshirt_Green_FM2504_25_model.jpg|https://assets.adidas.com/images/6f926798a3554c0787fcaaca0121fe3f_9366/Cropped_Sweatshirt_Green_FM2504_01_laydown.jpg|https://assets.adidas.com/images/fbf5100101c44b6fa739aaca01220d1e_9366/Cropped_Sweatshirt_Green_FM2504_02_laydown.jpg|https://assets.adidas.com/images/bad059f48c714203a2dcaaca0121b168_9366/Cropped_Sweatshirt_Green_FM2504_41_detail.jpg|https://assets.adidas.com/images/67d3e8c40d7143f28cc1aaca0121c92f_9366/Cropped_Sweatshirt_Green_FM2504_42_detail.jpg|https://assets.adidas.com/images/d8fa000f0c744a86ac52aaca0121de88_9366/Cropped_Sweatshirt_Green_FM2504_43_detail.jpg
FM2504_530,FM2504,Cropped Sweatshirt,adidas,Legacy Green,L,Yes,15,60,60,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/cropped-sweatshirt/FM2504.html,2020-02-11T19:35:23.326Z,https://assets.adidas.com/images/b623e3bdc6f34af1a227aaca0121715c_9366/Cropped_Sweatshirt_Green_FM2504_21_model.jpg|https://assets.adidas.com/images/28e908bf2bca432daf67aaca01217e81_9366/Cropped_Sweatshirt_Green_FM2504_22_model.jpg|https://assets.adidas.com/images/ac272e0ed22a464598a4aaca01218bb6_9366/Cropped_Sweatshirt_Green_FM2504_23_hover_model.jpg|https://assets.adidas.com/images/be7035767a6a41b5b7f1aaca01219a74_9366/Cropped_Sweatshirt_Green_FM2504_25_model.jpg|https://assets.adidas.com/images/6f926798a3554c0787fcaaca0121fe3f_9366/Cropped_Sweatshirt_Green_FM2504_01_laydown.jpg|https://assets.adidas.com/images/fbf5100101c44b6fa739aaca01220d1e_9366/Cropped_Sweatshirt_Green_FM2504_02_laydown.jpg|https://assets.adidas.com/images/bad059f48c714203a2dcaaca0121b168_9366/Cropped_Sweatshirt_Green_FM2504_41_detail.jpg|https://assets.adidas.com/images/67d3e8c40d7143f28cc1aaca0121c92f_9366/Cropped_Sweatshirt_Green_FM2504_42_detail.jpg|https://assets.adidas.com/images/d8fa000f0c744a86ac52aaca0121de88_9366/Cropped_Sweatshirt_Green_FM2504_43_detail.jpg
FM2504_550,FM2504,Cropped Sweatshirt,adidas,Legacy Green,XL,Yes,15,60,60,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/cropped-sweatshirt/FM2504.html,2020-02-11T19:35:23.366Z,https://assets.adidas.com/images/b623e3bdc6f34af1a227aaca0121715c_9366/Cropped_Sweatshirt_Green_FM2504_21_model.jpg|https://assets.adidas.com/images/28e908bf2bca432daf67aaca01217e81_9366/Cropped_Sweatshirt_Green_FM2504_22_model.jpg|https://assets.adidas.com/images/ac272e0ed22a464598a4aaca01218bb6_9366/Cropped_Sweatshirt_Green_FM2504_23_hover_model.jpg|https://assets.adidas.com/images/be7035767a6a41b5b7f1aaca01219a74_9366/Cropped_Sweatshirt_Green_FM2504_25_model.jpg|https://assets.adidas.com/images/6f926798a3554c0787fcaaca0121fe3f_9366/Cropped_Sweatshirt_Green_FM2504_01_laydown.jpg|https://assets.adidas.com/images/fbf5100101c44b6fa739aaca01220d1e_9366/Cropped_Sweatshirt_Green_FM2504_02_laydown.jpg|https://assets.adidas.com/images/bad059f48c714203a2dcaaca0121b168_9366/Cropped_Sweatshirt_Green_FM2504_41_detail.jpg|https://assets.adidas.com/images/67d3e8c40d7143f28cc1aaca0121c92f_9366/Cropped_Sweatshirt_Green_FM2504_42_detail.jpg|https://assets.adidas.com/images/d8fa000f0c744a86ac52aaca0121de88_9366/Cropped_Sweatshirt_Green_FM2504_43_detail.jpg
FM2510_450,FM2510,Hoodie,adidas,Active Red,2XS,No,0,65,65,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/hoodie/FM2510.html,2020-02-11T19:35:27.640Z,https://assets.adidas.com/images/782a9a09377f4b7c86b5aabe00e8b67a_9366/Hoodie_Red_FM2510_21_model.jpg|https://assets.adidas.com/images/8424a5bb820541f280c5aabe00e8c94d_9366/Hoodie_Red_FM2510_22_model.jpg|https://assets.adidas.com/images/35a82c996c82452b82e9aabe00e8d871_9366/Hoodie_Red_FM2510_23_hover_model.jpg|https://assets.adidas.com/images/e9d3be67597a49b09e3caabe00e8e63a_9366/Hoodie_Red_FM2510_25_model.jpg|https://assets.adidas.com/images/eb51cfaf5ccd4c858277aabe00e94ac4_9366/Hoodie_Red_FM2510_01_laydown.jpg|https://assets.adidas.com/images/0e84bcae579b45e79ebdaabe00e95b5a_9366/Hoodie_Red_FM2510_02_laydown.jpg|https://assets.adidas.com/images/7762a77134ae4599b0f1aabe00e8fd78_9366/Hoodie_Red_FM2510_41_detail.jpg|https://assets.adidas.com/images/b1e4a924d01c44188d4caabe00e912a1_9366/Hoodie_Red_FM2510_42_detail.jpg|https://assets.adidas.com/images/cd8725fb464e4c01a63daabe00e928e1_9366/Hoodie_Red_FM2510_43_detail.jpg
FM2510_470,FM2510,Hoodie,adidas,Active Red,XS,Yes,8,65,65,USD,Women|Apparel|Women's Originals,https://www.adidas.com/us/hoodie/FM2510.html,2020-02-11T19:35:27.739Z,https://assets.adidas.com/images/782a9a09377f4b7c86b5aabe00e8b67a_9366/Hoodie_Red_FM2510_21_model.jpg|https://assets.adidas.com/images/8424a5bb820541f280c5aabe00e8c94d_9366/Hoodie_Red_FM2510_22_model.jpg|https://assets.adidas.com/images/35a82c996c82452b82e9aabe00e8d871_9366/Hoodie_Red_FM2510_23_hover_model.jpg|https://assets.adidas.com/images/e9d3be67597a49b09e3caabe00e8e63a_9366/Hoodie_Red_FM2510_25_model.jpg|https://assets.adidas.com/images/eb51cfaf5ccd4c858277aabe00e94ac4_9366/Hoodie_Red_FM2510_01_laydown.jpg|https://assets.adidas.com/images/0e84bcae579b45e79ebdaabe00e95b5a_9366/Hoodie_Red_FM2510_02_laydown.jpg|https://assets.adidas.com/images/7762a77134ae4599b0f1aabe00e8fd78_9366/Hoodie_Red_FM2510_41_detail.jpg|https://assets.adidas.com/images/b1e4a924d01c44188d4caabe00e912a1_9366/Hoodie_Red_FM2510_42_detail.jpg|https://assets.adidas.com/images/cd8725fb464e4c01a63daabe00e928e1_9366/Hoodie_Red_FM2510_43_detail.jpg
